Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[FNB] Restaurant;False;13;0;0;0
[FNB] Restaurant;False;14;0;0;0
[FNB] Restaurant;False;15;0;0;0
[FNB] Restaurant;False;16;0;0;0
[FNB] Restaurant;False;17;0;0;0
[FNB] Restaurant;False;18;0;0;0
[FNB] Restaurant;False;19;0;0;0
[FNB] Restaurant;False;20;0;0;0
[FNB] Restaurant;False;21;0;0;0
[FNB] Restaurant;False;22;0;0;0
[FNB] Restaurant;False;23;0;0;0
[FNB] Restaurant;False;24;0;0;0
[Office] Meeting Room SS;True;1;1;0;0.5
[Office] Meeting Room SS;True;2;1;0;0.5
[Office] Meeting Room SS;True;3;1;0;0.5
[Office] Meeting Room SS;True;4;1;0;0.5
[Office] Meeting Room SS;True;5;1;0;0.5
[Office] Meeting Room SS;True;6;1;0;0.5
[Office] Meeting Room SS;True;7;0.5;0.15;0.5
[Office] Meeting Room SS;True;8;0.5;0.15;0.7
[Office] Meeting Room SS;True;9;0.5;0.15;0.7
[Office] Meeting Room SS;True;10;0.1;0.15;0.5
[Office] Meeting Room SS;True;11;0.1;0.05;0.5
[Office] Meeting Room SS;True;12;0.1;0.05;0.6
[Office] Meeting Room SS;True;13;0.1;0.05;0.6
[Office] Meeting Room SS;True;14;0.2;0.05;0.6
[Office] Meeting Room SS;True;15;0.2;0.05;0.6
[Office] Meeting Room SS;True;16;0.2;0.05;0.5
[Office] Meeting Room SS;True;17;0.5;0.2;0.5
[Office] Meeting Room SS;True;18;0.5;0.2;0.7
[Office] Meeting Room SS;True;19;0.5;0.2;0.7
[Office] Meeting Room SS;True;20;0.8;0.2;0.8
[Office] Meeting Room SS;True;21;0.8;0.2;0.8
[Office] Meeting Room SS;True;22;0.8;0.2;0.8
[Office] Meeting Room SS;True;23;1;0.15;0.6
[Office] Meeting Room SS;True;24;1;0.15;0.6
[Office] Meeting Room SS;False;1;0;0;0
[Office] Meeting Room SS;False;2;0;0;0
[Office] Meeting Room SS;False;3;0;0;0
[Office] Meeting Room SS;False;4;0;0;0
[Office] Meeting Room SS;False;5;0;0;0
[Office] Meeting Room SS;False;6;0;0;0
[Office] Meeting Room SS;False;7;0;0;0
[Office] Meeting Room SS;False;8;0;0;0
[Office] Meeting Room SS;False;9;0;0;0
[Office] Meeting Room SS;False;10;0;0;0
[Office] Meeting Room SS;False;11;0;0;0
[Office] Meeting Room SS;False;12;0;0;0
[Office] Meeting Room SS;False;13;0;0;0
[Office] Meeting Room SS;False;14;0;0;0
[Office] Meeting Room SS;False;15;0;0;0
[Office] Meeting Room SS;False;16;0;0;0
